경기날짜,한화,SK,KT,롯데,삼성,엘지,기아,키움,두산,넥센
4월,0.2788844621513944,0.2921760391198044,0.2825322391559203,0.3022959183673469,0.2773302646720368,0.3075089392133492,0.289437585733882,0.2491186839012926,0.293398533007335,0.22914072229140722
5월,0.2708089097303634,0.27603513174404015,0.273696682464455,0.28174123337363965,0.302540415704388,0.3057671381936888,0.3132400430570506,0.3052516411378556,0.29369797859690844,0.2526071842410197
6월,0.26823793490460157,0.2667509481668774,0.2518796992481203,0.2953091684434968,0.2829324169530355,0.2890243902439024,0.27102803738317754,0.29244249726177435,0.33191489361702126,0.2537313432835821
7월,0.28754813863928114,0.28891820580474936,0.28843537414965986,0.2948207171314741,0.3016270337922403,0.29876543209876544,0.2778523489932886,0.26163522012578616,0.3263707571801567,0.25857519788918204
8월,0.2681704260651629,0.3023758099352052,0.25,0.31007751937984496,0.28475336322869954,0.3078556263269639,0.3524229074889868,0.38779527559055116,0.3013392857142857,0.3068893528183716
9월,0.2773207990599295,0.2761904761904762,0.2787286063569682,0.29396984924623115,0.275175644028103,0.2692307692307692,0.2938209331651955,0.2607052896725441,0.31447963800904977,0.28205128205128205
10월,0.2722772277227723,0.2676056338028169,0.2777777777777778,0.27790973871733965,0.3618421052631579,0.26811594202898553,0.2683544303797468,0.32432432432432434,0.31620553359683795,0.25842696629213485
