경기날짜,한화,SK,KT,롯데,삼성,엘지,기아,키움,두산,넥센
4월,0.2755905511811024,0.2673733804475854,0.229064039408867,0.2765196662693683,0.2600896860986547,0.2863905325443787,0.28080568720379145,0.2997787610619469,0.27181208053691275,0.27128263337116915
5월,0.2923777019340159,0.26567844925883694,0.28650442477876104,0.3008225616921269,0.25,0.27805486284289277,0.2878464818763326,0.290950744558992,0.29901960784313725,0.2746478873239437
6월,0.3072562358276644,0.2560553633217993,0.28036322360953464,0.2850828729281768,0.2858695652173913,0.3033448673587082,0.34080717488789236,0.30113636363636365,0.30372807017543857,0.31314285714285717
7월,0.28901734104046245,0.2645161290322581,0.25283630470016205,0.2597577388963661,0.2791005291005291,0.2946708463949843,0.31605562579013907,0.29595827900912647,0.3110181311018131,0.3047752808988764
8월,0.2974683544303797,0.28554641598119856,0.2921212121212121,0.29430379746835444,0.30619266055045874,0.26987951807228916,0.29614325068870523,0.2857142857142857,0.296655879180151,0.27505330490405117
9월,0.2672634271099744,0.2993730407523511,0.2922868741542625,0.29984544049459044,0.2909604519774011,0.2668213457076566,0.29975429975429974,0.26239067055393583,0.2920592193808883,0.32388663967611336
10월,0.27586206896551724,0.22857142857142856,0.3709677419354839,0.21428571428571427,0.3055555555555556,0.2318840579710145,0.2621359223300971,0.36585365853658536,0.24242424242424243,0.3333333333333333
