경기날짜,한화,SK,KT,롯데,삼성,엘지,기아,키움,두산,넥센
4월,0.26348808030112925,0.2668269230769231,0.2644628099173554,0.2925407925407925,0.2731893265565438,0.2584415584415584,0.27308192457737324,0.27427184466019416,0.2850061957868649,0.26848249027237353
5월,0.28896473265073946,0.2783882783882784,0.29638273045507585,0.29191797346200243,0.30372807017543857,0.2810126582278481,0.29965156794425085,0.2801875732708089,0.33002207505518766,0.31845597104945716
6월,0.28488372093023256,0.310752688172043,0.25755743651753327,0.2927374301675978,0.2765726681127983,0.30837004405286345,0.27419354838709675,0.30192962542565266,0.28489702517162474,0.2884848484848485
7월,0.308,0.2962962962962963,0.2683658170914543,0.28330995792426367,0.28773584905660377,0.29102564102564105,0.31220095693779903,0.31536388140161725,0.2862957937584803,0.27710843373493976
8월,0.3002309468822171,0.2906178489702517,0.27487562189054726,0.2619974059662776,0.3209580838323353,0.2996742671009772,0.2916666666666667,0.2939666238767651,0.3018867924528302,0.30440097799511
9월,0.28217821782178215,0.31277533039647576,0.29292929292929293,0.3108665749656121,0.2997601918465228,0.30662983425414364,0.2583081570996979,0.30634278002699056,0.2955145118733509,0.27667057444314186
10월,0.33557046979865773,0.25,0.27218934911242604,0.25961538461538464,0.2634730538922156,0.24050632911392406,0.2822085889570552,0.2529411764705882,0.30701754385964913,0.31983805668016196
