경기날짜,한화,SK,KT,롯데,삼성,엘지,기아,키움,두산,넥센
4월,0.25178826895565093,0.24469413233458176,0.24600246002460024,0.26842105263157895,0.2619974059662776,0.2769028871391076,0.26700898587933247,0.3090277777777778,0.2843016069221261,0.2982233502538071
5월,0.2414553472987872,0.26914660831509846,0.2825112107623318,0.27385892116182575,0.2702394526795895,0.2557077625570776,0.26885245901639343,0.2757871878393051,0.2717023675310034,0.2958963282937365
6월,0.24785276073619633,0.29909706546275394,0.2896551724137931,0.24396135265700483,0.275609756097561,0.27014755959137343,0.2695961995249406,0.2733644859813084,0.2710843373493976,0.2531486146095718
7월,0.2534351145038168,0.2751159196290572,0.2985553772070626,0.22765598650927488,0.25660964230171074,0.2605042016806723,0.2637571157495256,0.279874213836478,0.26109215017064846,0.28678678678678676
8월,0.26108374384236455,0.2545235223160434,0.27376861397479957,0.2514827995255042,0.22549019607843138,0.2971360381861575,0.267349260523322,0.303471444568869,0.30154946364719903,0.26492537313432835
9월,0.26880222841225626,0.2363013698630137,0.27197346600331673,0.22087745839636913,0.2352168199737188,0.2581560283687943,0.25337331334332835,0.24861878453038674,0.28169014084507044,0.2767732962447844
